Number	Source	Voice	Taunt
197	Charlie Brown		Oh Good Grief
198	Charlie Brown		You Better Cut It Out Right Now Or I'll Pound You
199	Underdog		There's No Need To Fear, Underdog Is Here
200	Darkwing Duck		Bruised, Battered, But Never Defeated
201	Pinky And The Brain		We Must Plan For Tomorrow Night. Try To Take Over The World
202	Disney	Goofy	Hyuk, Guess They're Excited, Ahyuk!
203	Disney	Goofy	Ahyuk, I Still Got The Touch, Ahyuk!
204	Disney	Timon	Who's The Brains In This Outfit, My Point Exactly
205	Disney	Iago	I Cant Take It Any More
206	Disney	Yao	I'm Gonna Hit You So Hard, It Will Make Your Ancestors Dizzy
207	Dragonball Z		Its Over 9000!!!
208	Futurama		Sure You Lost, You Lost Bad. And You Made It Look Almost Half Real
209	King Of The Hill		Guns Don't Kill People, The Government Does
210	South Park	Cartman	I Am A Cop And You Will Respect My Authorita
211	South Park	Cartman	Beefcake, Beefcake, BEEFCAKE, BEEFCAKE
212	South Park	Cartman	Hey, I Don't Have To Take That Crap From You Scrawny Weak
213	South Park	Cartman	Screw You Hippie
214	South Park	Cartman	That's It Now I'm All Pissed Off! Take That Hippie
215	South Park	Cartman	Get Your Ass To Jail!
216	South Park	Cartman	How Would You Like To Suck My Balls
217	South Park	Cartman	Fuck Off You Donkey Rippin Shit Eater
218	South Park	Cartman	Revenge Is So Very Sweet
219	South Park	Cartman	No Way Dude, We're Not Stayin Alone In Your House
220	South Park	Mr Garrison	Uh Oh, Retard Alert!
221	South Park	Mr Garrison	We're Doomed, Goodbye Mr Hat
222	South Park	Mr Garrison	Yes, For Gods Sake Get On With It
223	South Park	Mr Garrison	No, You Hear Me, You Go To Hell, You Go To Hell And You Die
224	South Park	Stan	You Bastard
225	South Park	Stan	You'll Go And Sit In Front Of The Tv And Eat Cheesy Poofs, Assmaster
226	South Park	Chef	Ok Everybody Get In A Line So I Can Whoop All Your Asses
227	Family Guy	Stewie	SAY WHAT!
228	Family Guy	Stewie	Victory Is Mine, Ahh Damn You All
229	Family Guy	Stewie	What Are They Paying You, I'll Double It
230	Family Guy	Stewie	You're Useless, I'll Defend Myself And To Hell With All Of You
231	Family Guy	Stewie	Well Well Mother, We Meet Again
232	Family Guy	Stewie	Time To Be Bad
233	Family Guy	Stewie	They're Dead You Know
234	Family Guy	Peter	OMG Who The Hell Cares!
235	Family Guy	Peter	Laughing
236	Family Guy	Brian	Oh I Think I'll Manage
237	Family Guy		Trololo
238	Rick And Morty	Rick	Then I'm Gonna Need You To Put Em Waaay Up Inside Your Butthole
239	Rick And Morty	Rick	Lick Lick Lick My Balls Hahaha Yeah
240	Rick And Morty	Rick	Riggity Riggity Wrecked Son
241	Rick And Morty	Rick	Wubbalubadubdub
242	Rick And Morty	Rick	Hit The Sack Jack
243	Rick And Morty	Rick	Thank Youuuuuu
244	Rick And Morty	Rick	That's Retarded
245	Rick And Morty	Rick	Whatever
246	Rick And Morty	Floating Head	Good Job!
247	Rick And Morty	Floating Head	Show Me What You Got!
248	Rick And Morty	Floating Head	Disqualified
249	Rick And Morty	Mr PoopyButthole	Ooowie, What A Season, Sorry I Never Showed Up!
250	Rick And Morty	Mr PoopyButthole	OooWie
251	Rick And Morty	Mr PoopyButthole	What Did You Do, Hopefully You Didn't Just Fk Around And Waste Your Life
252	Rick And Morty	Scary Terry	Awww Bitch
253	Rick And Morty	Bird Person	In Bird Culture This Is Considered
254	Rick And Morty	Mr Meeseeks	Oooo Yeah Caaan Doo!
255	Rick And Morty	Morty	Oh Man
256	Rick And Morty	Morty	Well Then Get Your Shit Together. Put It In A Backpack
257	Rick And Morty	Morty	If You Gotta Take It Somewhere, Take It To The Shit Store
258	Rick And Morty	Morty	Get Your Shit Together
259	Rick And Morty		My Man
260	Rick And Morty		Baby Legs Here We Go! That's The Sound I Make When I'm Tryin To Run Fast
261	Beavis And  Butthead	Butthead	Hehe What A Dork Hehehe
262	Beavis And  Butthead	Butthead	We're Gonna Be Cool
263	Beavis And  Butthead	Butthead	This Is The Coolest Thing I Have Ever Seen
264	Beavis And  Butthead	Butthead	Uh, Sir, I'm Afraid I'm Gonna Have To Kick Your Ass
265	Beavis And  Butthead	Butthead	Please Come Out, Please
266	Beavis And  Butthead	Beavis	I Am Cornholio, I Have No Bunghole
267	Beavis And  Butthead	Beavis	Fire, Fire
268	Beavis And  Butthead	Beavis	Are You Threatening Me
269	Beavis And  Butthead	Beavis	Is This Like One Of Those 976 Numbers, What Are You Wearing
270	Beavis And  Butthead	Beavis	You Have Awakened My Bunghole, And Now U Must Pay
271	Beavis And  Butthead		Laughing
272	Beavis And  Butthead	Coach Buzzcut	You Just Made A Fatal Mistake Mister Candyass
273	Beavis And  Butthead	Coach Buzzcut	I Do The Ass Kickin Round Here
274	Ren & Stimpy	Ren	Ahh! You Eediots!
275	Ren & Stimpy	Ren	Have You Lost Your Mind
276	Ren & Stimpy	Ren	It's Gonna Kill Us, Run, RUN!
277	Ren & Stimpy	Ren	Why Wont They Leave Me Alone!
278	Ren & Stimpy	Ren	Laugh
279	Ren & Stimpy	Ren	Laugh 2
280	Ren & Stimpy	Ren	Oh What I'm Gonna Do To You
281	Ren & Stimpy	Ren	Uuuhuhuhuhuhu
282	Campaign		You May Think I'm Beaten, Wait, My Sword, Where Is It, Aahhh
283	Campaign		I'll Teach You To Come Near My City, I Eat People Like You For Breakfast
284	Campaign		Anytime You Wanna Get Into The Fight Just Jump On In
285	Campaign		Try To Distract Him, I've Got A Plan
286	Campaign		That Was A Cowards Tactic
287	Campaign		Its Too Late To Surrender Now
288	Campaign		Remember To Upgrade At The Blacksmith, You Do Have A Blacksmith Right
289	Campaign		I Die With Honor
290	Campaign		It's Genghis Khan! We Must Flee!
291	Campaign		Charge
292	Campaign		Mongols! We Are Doomed For Certain
293	Campaign	Here They Come	Fire
294	Campaign		I Know Your Admiration For Me Is Great, But Try To Contain Yourself
295	Campaign		Be Gone, You Have Occupied My Lands For Far Too Long
296	Campaign		Bowmen Ready
297	Campaign		Draw Arrows
298	Campaign		Attack
299	Campaign		You Are A Coward And A Weakling, Invading You Will Be A Pleasure
300	Campaign		All Must Fall Before The Might And Right Of My Cause, You Shall Be First
301	Campaign		Where Are Those Blasted Reinforcements
302	Starcraft 2	Artanis	Strength In Unity!
303	Starcraft 2	Artanis	I Am Gravely Disappointed In You
304	Starcraft 2	Artanis	Our Thoughts Are One!
305	Starcraft 2	Artanis	Triumph Through Sacrifice!
306	Starcraft 2	Artanis	Has It All Been, For NOTHING!
307	Starcraft 2	Artanis	Die Die DIE!
308	Starcraft 2	Battlecruiser	Oh Really
309	Starcraft 2	Battlecruiser	I Have An Announcement, I Am Drunk!
310	Starcraft 2	Battlecruiser	Identify Yourself
311	Starcraft 2	Battlecruiser	I Am Seeing Double, Shoot Them Both!
312	Starcraft 2	Ghost	Now That's An Ass Wooping
313	Starcraft 2	Ghost	Never Say Die!
314	Starcraft 2	Ghost	I See Live People, I See Dead People
315	Starcraft 2	Ghost	You Have Something On Your Face, Got It
316	Starcraft 2	Zeratul	I Will Do, What Must Be Done
317	Starcraft 2	Marine	You Gonna Give Me Orders
318	Starcraft 2	Marauder	Its GO! Time
319	Starcraft 2	Wraith	I'm Just Curious, Why Am I So Good
320	Warcraft	Death Knight	When My Work Is Finished, I'm Coming Back For You
321	Warcraft	Death Knight	I'm Growing Impatient
322	Warcraft	Death Knight	That Doesn't Hurt
323	Warcraft	Death Knight	Stop That Incessant Clicking
324	Warcraft	Dwarf	Tilt One Back With Me Dog
325	Warcraft	Dwarf	I Love Blowing Things Up
326	Warcraft	Dwarf	Argh There's No Hope For This Lad
327	Warcraft	Human	Face Me Coward
328	Warcraft	Human Peasant	Leave Me Alone
329	Warcraft	Orc Peon	I Would Not Do Such Things If I Were You
330	Warcraft	Orc Peon	Missed Me
331	Warcraft	Orc Peon	Burp, Excuse Me
332	Warcraft	Orc	Do You Feel Lucky, Punk
333	Warcraft	Tauren	Bring It On
334	Warcraft		LEROY JENKINS
335	Postal		(Evil Laugh)
336	Postal		Burn Baby Burn
337	Postal		Clean Up On Isle 5
338	Postal		Damn I'm Good
339	Postal		Die, Weakling!
340	Postal		Do You Smell Something Burning
341	Postal		You Need A Body Bag
342	Postal		Get'em
343	Postal		Going, Going, Gone
344	Postal		Good One!
345	Postal		He's Outta There
346	Postal		Hoohah!
347	Postal		Am The Angel Of Death
348	Postal		I Regret Nothing
349	Postal		I'll See You In Hell! (Evil Laugh)
350	Postal		Is It Hot In Here, Or Is It Just Me
351	Postal		Is There A Doctor In The House
352	Postal		Keep The Change
353	Postal		Kickin Ass
354	Postal		Mmm, I Love A Good Bbq
355	Postal		Now That's A Blue Light Special
356	Postal		Did That Hurt
357	Postal		Do You Have A Booboo
358	Postal		Oww, With The Birthday Suit
359	Postal		See You In Hell
360	Postal		Show No Mercy
361	Postal		Sissy!
362	Postal		Smells Like Chicken
363	Postal		Today Is A Good Day To Die
364	Postal		Wussie
365	Postal		You Should've Gone To Disney Land
366	Postal		You're Gonna Need A Massage After This
367	Postal		You're Gonna Pay For That
368	Postal		You're The Man
369	Duke Nukem		You Guys Suck
370	Duke Nukem		There's Only Two Ways This Can End
371	Duke Nukem		Die You Son Of A Bitch
372	Duke Nukem		Life's A Bitch, And Then You Die
373	Duke Nukem		I'm Gonna Kick Your Ass, Bitch
374	Redneck Rampage		I'm Gonna Have To Open Up A Can Of Whoop-Ass
375	Counter Strike		Fire In The Hole!
376	Counter Strike		Enemy Down
377	Counter Strike		Need Backup
378	Counter Strike		Get In Position
379	Counter Strike		Stick Together Team
380	Counter Strike		Follow Me
381	Counter Strike		I'm Hit Need Assistance
382	Counter Strike		Cover Me
383	Counter Strike		I'm In Position
384	Counter Strike		Roger That!
385	Counter Strike		Regroup Team
386	Counter Strike		Meet At The Rendezvous Point
387	Counter Strike		GO GO GO
388	Counter Strike		Ok, Lets Go
389	Counter Strike		Team Let's Get Out Of Here
390	Unreal Tournament		Assault The Base
391	Unreal Tournament		I Need Some Backup
392	Unreal Tournament		Boom
393	Unreal Tournament		Burn Baby
394	Unreal Tournament		Cover Me
395	Unreal Tournament		See Ya
396	Unreal Tournament		Defend The Base
397	Unreal Tournament		Objective Destroyed
398	Unreal Tournament		DirtBag
399	Unreal Tournament		I've Got U Covered
400	Unreal Tournament		I've Got Your Back
401	Unreal Tournament		Hahaha
402	Unreal Tournament		Hang In There
403	Unreal Tournament		Hold This Position
404	Unreal Tournament		That Had To Hurt
405	Unreal Tournament		I'm On It
406	Unreal Tournament		I'm In Position
407	Unreal Tournament		Lets Rock
408	Unreal Tournament		Ya Like That
409	Unreal Tournament		Loser
410	Unreal Tournament		You Have Lost The Match
411	Unreal Tournament		That Was Nasty
412	Unreal Tournament		Next
413	Unreal Tournament		Nice
414	Unreal Tournament		OhYea
415	Unreal Tournament		OnMyWay
416	Unreal Tournament		I'm In Position
417	Unreal Tournament		Roger That
418	Unreal Tournament		Search And Destroy
419	Unreal Tournament		I Just Slaughtered That Guy
420	Unreal Tournament		Sucker
421	Unreal Tournament		You Be Dead
422	Unreal Tournament		I'm Under Heavy Attack
423	Unreal Tournament		Useless
424	Unreal Tournament		Anyone Else Want Some
425	Mortal Kombat		GET OVER HERE!!!!
426	Mortal Kombat		FINISH HIM !!
427	Mortal Kombat		FATALITY !
428	Mortal Kombat		FATALITY 2
429	Mortal Kombat		BABALITY !
430	Mortal Kombat		Flawless Victory
431	Mortal Kombat		Flawless Victory Fatality
432	Mortal Kombat		You Weak Pathetic Fool
433	Mario		Super Mario Loses Life
434	Mario		Super Mario Course Clear
435	Lunar		Listen, You Haven't Seen The Coolest Part, This Is Gonna Blow You Away
436	Lunar		I'll Soon Rule The World, But First You Have To Die
437	Terminal Velocity		Tell Ya Mother You're Not Coming Home
438	Star Wars	Darth Vader	All Too Easy
439	Star Wars	Darth Vader	I Find Your Lack Of Faith Disturbing
440	Star Wars	Darth Vader	It Is Pointless To Resist
441	Star Wars	Darth Vader	There Is No Escape, Don't Make Me Destroy You
442	Star Wars	Darth Vader	You Should Not Have Come Back
443	Star Wars	Darth Vader	You Are Beaten, It Is Useless To Resist
444	Star Wars	Darth Vader	If You Only Knew The Power Of The Dark Side
445	Star Wars	Darth Vader	Don't Make Me Destroy You
446	Star Wars	Darth Vader	Impressive
447	Star Wars	Darth Vader	Leave That To Me
448	Star Wars	Darth Vader	NOOOOOO
449	Star Wars	Obi Wan	If You Strike Me Down I'll Become More Powerful Than You Can Possibly Imagine
450	Star Wars	Obi Wan	You Must Learn The Ways Of The Force
451	Star Wars	Obi Wan	The Force Will Be With You, Always
452	Star Wars	Yoda	Laughing
453	Star Wars	Yoda	HmmMMmmm
454	Star Wars	Emperor	Everything Is Proceeding As I Have Foreseen
455	Star Wars	Emperor	Witness The Firepower Of This Fully Armed And Operational Battle Station
456	Star Wars	Han Solo	How We Doing, Same As Always, That Bad Eh
457	Star Wars	Han Solo	Good Luck, You're Gonna Need It
458	Star Wars	C3PO	We're Doomed
459	Star Wars	C3PO	We Seem To Be Made To Suffer
460	Star Wars	Luke	I Have A Very Bad Feeling About This
461	Star Wars	Jabba	Laughing
462	Star Wars		I Think It Is Time To Demonstrate The Full Power Of This Station
463	Star Wars		Move The Fleet Away From The Deathstar
464	Star Wars		You May Fire When Ready
465	Star Wars		That's Impossible Even For A Computer
466	Star Wars		Red Leader Standing By, Gray Leader Standing By
467	Star Wars 2	Emperor	Begin Landing Your Troops
468	Star Wars 2	Emperor	Wipe Them Out - All Of Them
469	Star Wars 2	Yoda	Always Two There Are, A Master And An Apprentice
470	Star Wars 2		At Last We'll Have Revenge
471	Star Wars 2		This Is A Battle I Do Not Think That We Can Win
472	Star Wars 2	Queen Amidala	We Must Do Something Quick
473	Star Wars 2	Jar Jar	You'sa People Gonna Die
474	Star Wars 2		A Communications Disruption Can Mean Only One Thing, Invasion
475	Spaceballs		Now You See That Evil Will Always Triumph, Because Good Is Dumb
476	Spaceballs		What The Hell Was That
477	Spaceballs		Smoke If Ya Got Em
478	Spaceballs		You're Looking At Now, Sir. We're At Now, Now
479	Spaceballs		Go Back To Then! When. Just Now. When Will Then Be Now
480	Spaceballs		Who Is He. He's An Asshole Sir. Asshole, Major Asshole
481	Spaceballs		And His Cousin. He's An Asshole, Too, Sir. Gunner's Mate First Class Phillip Asshole
482	Spaceballs		How Many Assholes We Got On This Ship Anyhow. YO
483	Spaceballs		I Knew It, I'm Surrounded By Assholes
484	Spaceballs		Keep Firing, Assholes
485	Spaceballs		Sorry Sir, Doing My Best
486	Spaceballs		What Should We Do Now Sir
487	Spaceballs		Prepare To Attack. Prepare To Attack!
488	Spaceballs		You Are Ugly When You're Angry
489	Spaceballs		I'm having trouble with the radar sir. What's Wrong with it. I've lost the bleeps, I've lost the sweeps, and I've lost the creeps. The what, the what and the what
490	Monty Python		Go Away
491	Monty Python		Who Are The Britons
492	Monty Python		Help, Help, I'm Being Repressed
493	Monty Python		Come And See The Violence Inherent In The System!
494	Monty Python	King Arthur	Bloody Peasant!
495	Monty Python	French Guard	Mind Your Own Business!
496	Monty Python	French Guard	You Don't Frighten Us, English Pig Dogs!
497	Monty Python	French Guard	I blow my nose at you, so called, arthur king. You and all your silly English Kniggets
498	Monty Python	French Guard	I don't want to talk to you no more you empty headed animal food trough wiper
499	Monty Python	French Guard	I Fart In Your General Direction!
500	Monty Python	French Guard	Your mother was a hamster, and your father smelt of elderberries, you tiny brained wipers of other people's bottoms! Now go away or I shall taunt you a second time!
501	Monty Python		Bring Out Your Dead!
502	Monty Python		I'm Not Dead!
503	Monty Python		I'm Getting Better. No You're Not You'll Be Stone Dead In A Moment
504	Monty Python	Black Knight	None Shall Pass
505	Monty Python	Black Knight	I Move For No Man
506	Monty Python	Black Knight	Come On Ya Pansy
507	Monty Python	King Arthur	You Fight With The Strength Of Many Men Sir Knight
508	Monty Python	Black Knight	Tis But A Scratch
509	Monty Python	King Arthur	Victory Is Mine
510	Monty Python	Black Knight	Just A Flesh Wound
511	Monty Python	King Arthur	What Are Ya Gonna Do Bleed On Me
512	Monty Python	Black Knight	I'll Bite Your Legs Off
513	Monty Python	King Arthur	You're A Loony
514	Monty Python	Black Knight	Alright, We'll Call It A Draw
515	Monty Python	Tim	Death Awaits Ye All With Nasty Big Point Teeth
516	Monty Python	King Arthur	Run Away! Run Away!
517	Monty Python	Tim	I Warned You But Did You Listen To Me Oh No You No
518	Monty Python	Lancelot	We Have The Holy Hand Grenade
519	Monty Python		Oh, Lord, Bless This Thy Hand Grenade
520	Monty Python		Alwight Alwight We'll Kill Him First And Then Have Tea And Biscuits
521	Monty Python		Brave Sir Robin Ran Away. When Danger Reared Its Ugly Head
522	Monty Python	Bridge Keeper	What, Is Your Favorite Color
523	Monty Python	Bridge Keeper	What, Is The Airspeed Velocity Of An Unladen Swallow
524	Monty Python		Lets Not Bicker And Argue About Who Killed Who
525	Monty Python	King Arthur	Shut Up, And Go And Change Your Armor
526	Monty Python	Monks	Pie Iesu Domine, Dona Eis Requim
527	Monty Python		We Are The Knights Who Say, Ni!
528	Monty Python	Song	Always Look On The Bright Side Of Life
529	Monty Python		Uh, Is This The Right Room For An Arguement
530	Monty Python		Hello, Uh, Can We Have Your Liver
531	Monty Python		No One Expects The Spanish Inquisition
532	Austin Powers	Dr Evil	Laughing
533	Austin Powers	Dr Evil	Come Mr. Bigglesworth
534	Austin Powers	Dr Evil	I Shall Call Him Mini Me
535	Austin Powers	Dr Evil	I'm Going To Go Back To The 60s And Steal Austin Power's
536	Austin Powers	Dr Evil	I'm Gonna Get You Austin Powers
537	Austin Powers	Dr Evil	I've Been A Frickin Evil Doctor For 30 Frickin Years, Ok
538	Austin Powers	Dr Evil	Mr President in 12 hours I will destroy Washington DC with this giant laser
539	Austin Powers	Dr Evil	Why Make Trillions When We Could Make Billions
540	Austin Powers	Dr Evil	Throw Me A Freakin Bone Here, I'm The Boss, Need The Info
541	Austin Powers	Dr Evil	Uh can u remind me what i pay you people for, honestly throw me a bone here
542	Austin Powers	Austin	Very Shagadelic
543	Austin Powers	Austin	Smashing Baby
544	Austin Powers	Patty O'Brien	They're Always After Me Lucky Charms
545	Austin Powers	Fat Bastard	Come Here, I'm Gonna Eat Ya
546	Austin Powers	Fat Bastard	I'm Bigger Than You, I'm Higher In The Food Chain!
547	Austin Powers	Fat Bastard	Get In My Belly Come On
548	Austin Powers	Fat Bastard	You're Lucky Wee Man
549	Austin Powers	Fat Bastard	Let Me Make You A Deal Allright
550	Austin Powers	Dr Evil	Riiiiiiiiiiiiiiiight
551	Austin Powers	Mustafa	I'm Still Alive But I'm Very Badly Injured
552	Star Trek	Kirk	Enough Talk - Let's Get On With It
553	Star Trek	Kirk	Oh My God
554	Star Trek	Kirk	This Game Has Gone On Long Enough
555	Star Trek	Kirk	You're A Bumbling Inept Fool
556	Star Trek		We Come In Peace And You Blatantly Defile That Peace
557	Star Trek		You're Not As Stupid As I Thought, You Might Even Be Intelligent
558	Star Trek		You Misunderstand Me Lad I'm Not Asking You, I'm Telling You, You Have No Choice
559	Star Trek		That Was Too Easy
560	Star Trek	Worf	I Will Be Standing By To Assist You If Needed
561	Star Trek	Worf	A Warrior Does Not Complain About Physical Discomfort
562	Star Trek	Picard	The Line Must Be Drawn Here
563	Star Trek	Picard	I Will Make Them Pay For What They've Done
564	Star Trek		I Now Formally Request Your Assistance
565	Braveheart		A Most Excellent Idea Sire
566	Braveheart		We Won! Victory!
567	Braveheart		To The Death!
568	Braveheart		You Are Outmatched, Ha, You Have No Heavy Cavalry
569	Braveheart		We Must Not Divide Our Forces
570	Braveheart		We Have Beaten The English
571	Braveheart		I Am Skilled In The Arts Of War And Military Tactics, Sire
572	Braveheart		You Are Under My Orders, Sir
